Pair	Person	Object	Image
AA	Astronaut	Axe	Astronaut + Axe
AB	Astronaut	Ball	Astronaut + Ball
AC	Astronaut	Camera	Astronaut + Camera
AD	Astronaut	Drum	Astronaut + Drum
AE	Astronaut	Egg	Astronaut + Egg
AF	Astronaut	Flag	Astronaut + Flag
AG	Astronaut	Globe	Astronaut + Globe
AH	Astronaut	Hammer	Astronaut + Hammer
AJ	Astronaut	Jetpack	Astronaut + Jetpack
AK	Astronaut	Key	Astronaut + Key
AL	Astronaut	Ladder	Astronaut + Ladder
AM	Astronaut	Mask	Astronaut + Mask
AN	Astronaut	Net	Astronaut + Net
AP	Astronaut	Pan	Astronaut + Pan
AQ	Astronaut	Quill	Astronaut + Quill
AR	Astronaut	Rope	Astronaut + Rope
AS	Astronaut	Sword	Astronaut + Sword
AT	Astronaut	Torch	Astronaut + Torch
AU	Astronaut	Umbrella	Astronaut + Umbrella
AV	Astronaut	Vase	Astronaut + Vase
AW	Astronaut	Wheel	Astronaut + Wheel
AX	Astronaut	Xylophone	Astronaut + Xylophone
AY	Astronaut	Yo-yo	Astronaut + Yo-yo
AZ	Astronaut	Zipper	Astronaut + Zipper
BA	Boxer	Axe	Boxer + Axe
BB	Boxer	Ball	Boxer + Ball
BC	Boxer	Camera	Boxer + Camera
BD	Boxer	Drum	Boxer + Drum
BE	Boxer	Egg	Boxer + Egg
BF	Boxer	Flag	Boxer + Flag
BG	Boxer	Globe	Boxer + Globe
BH	Boxer	Hammer	Boxer + Hammer
BJ	Boxer	Jetpack	Boxer + Jetpack
BK	Boxer	Key	Boxer + Key
BL	Boxer	Ladder	Boxer + Ladder
BM	Boxer	Mask	Boxer + Mask
BN	Boxer	Net	Boxer + Net
BP	Boxer	Pan	Boxer + Pan
BQ	Boxer	Quill	Boxer + Quill
BR	Boxer	Rope	Boxer + Rope
BS	Boxer	Sword	Boxer + Sword
BT	Boxer	Torch	Boxer + Torch
BU	Boxer	Umbrella	Boxer + Umbrella
BV	Boxer	Vase	Boxer + Vase
BW	Boxer	Wheel	Boxer + Wheel
BX	Boxer	Xylophone	Boxer + Xylophone
BY	Boxer	Yo-yo	Boxer + Yo-yo
BZ	Boxer	Zipper	Boxer + Zipper
CA	Chef	Axe	Chef + Axe
CB	Chef	Ball	Chef + Ball
CC	Chef	Camera	Chef + Camera
CD	Chef	Drum	Chef + Drum
CE	Chef	Egg	Chef + Egg
CF	Chef	Flag	Chef + Flag
CG	Chef	Globe	Chef + Globe
CH	Chef	Hammer	Chef + Hammer
CJ	Chef	Jetpack	Chef + Jetpack
CK	Chef	Key	Chef + Key
CL	Chef	Ladder	Chef + Ladder
CM	Chef	Mask	Chef + Mask
CN	Chef	Net	Chef + Net
CP	Chef	Pan	Chef + Pan
CQ	Chef	Quill	Chef + Quill
CR	Chef	Rope	Chef + Rope
CS	Chef	Sword	Chef + Sword
CT	Chef	Torch	Chef + Torch
CU	Chef	Umbrella	Chef + Umbrella
CV	Chef	Vase	Chef + Vase
CW	Chef	Wheel	Chef + Wheel
CX	Chef	Xylophone	Chef + Xylophone
CY	Chef	Yo-yo	Chef + Yo-yo
CZ	Chef	Zipper	Chef + Zipper
DA	Detective	Axe	Detective + Axe
DB	Detective	Ball	Detective + Ball
DC	Detective	Camera	Detective + Camera
DD	Detective	Drum	Detective + Drum
DE	Detective	Egg	Detective + Egg
